hanzi,pinyin,meaning,distractor_1,distractor_2,distractor_3,distractor_4,distractor_5,distractor_6,distractor_7,distractor_8,distractor_9,level
塌,tā,to collapse,墙,堤,挡,搞,增,捍,蝠,碍,荷,HSK7-9
掀,xiān,uncover,揪,撕,锹,欺,砍,狱,秋,旅,钦,HSK7-9
乖,guāi,well-behaved,悲,荐,谐,脖,请,录,存,钉,毕,HSK7-9
捏,niē,to pinch,措,挂,掉,扯,拄,描,扛,捍,拒,HSK7-9
虏,lǔ,captive,虎,虔,虑,勃,毙,扔,脂,虐,旗,HSK7-9
匙,chí,spoon,起,房,脂,张,柴,超,摸,拐,抚,HSK7-9
钥,yào,key,银,锯,朗,铅,脖,病,销,鹿,绢,HSK7-9
株,zhū,tree stump,袜,麻,林,棵,淋,琳,栓,眯,珠,HSK7-9
剖,pōu,to cut open,晾,赔,培,商,前,帝,搞,闯,悟,HSK7-9
淘,táo,to rinse,涝,湾,海,涕,漂,涩,潮,哟,溃,HSK7-9
嫩,nèn,tender,嫌,撤,辙,橄,姨,敷,教,傲,嫂,HSK7-9
捞,lāo,to dredge up,挎,拂,拷,摸,拢,唠,苏,勃,境,HSK7-9
鄙,bǐ,low,郭,部,邮,搞,骂,喝,鹊,隔,劈,HSK7-9
兜,dōu,pocket,党,况,舵,悦,抗,脱,充,恍,究,HSK7-9
怡,yí,joyful,胎,惧,恰,恨,倍,冶,馆,台,悄,HSK7-9
贬,biǎn,to diminish,眨,泛,劣,乏,笑,份,奖,秀,役,HSK7-9
敞,chǎng,spacious,敬,艘,吸,破,被,散,叛,致,毁,HSK7-9
蜡,là,wax,蝠,蝗,增,蛙,蜻,醋,描,酷,措,HSK7-9
谣,yáo,rumor,蹈,浑,摇,涩,溢,稻,溃,渔,嗦,HSK7-9
枕,zhěn,pillow,杭,耽,忧,扰,机,桃,优,棍,槐,HSK7-9
浆,jiāng,thick liquid,奖,袋,桨,设,秀,咏,贫,察,脉,HSK7-9
躬,gōng,to bow,鸽,强,呜,的,剖,射,引,朗,脖,HSK7-9
昼,zhòu,daytime,倡,借,眉,乍,暮,查,星,炬,是,HSK7-9
藻,zǎo,algae,澡,躁,臊,操,噪,漠,燥,谍,蹬,HSK7-9
募,mù,to recruit,寡,摸,巷,握,超,提,猩,垫,掐,HSK7-9
耽,dān,to delay,现,扰,枕,轨,既,瑰,炖,规,境,HSK7-9
陋,lòu,crude,阿,捆,恩,烟,鸥,啊,郭,郁,鸭,HSK7-9
虐,nüè,cruel,虚,属,屑,厚,唇,情,驾,掌,屠,HSK7-9
喇,lǎ,horn,澜,颗,刺,碟,莉,啼,槛,桐,幢,HSK7-9
沸,fèi,to boil,涕,涛,港,纬,练,钱,跤,涝,铰,HSK7-9
遏,è,restrain,遇,遵,惠,遗,意,褐,竭,通,揭,HSK7-9
栋,dòng,building,粽,标,拣,棕,树,刹,陈,探,橱,HSK7-9
莽,mǎng,rude,葬,竖,奔,举,择,葵,坚,卒,垄,HSK7-9
诧,chà,to be surprised,抒,花,讨,弦,污,混,乖,鸿,窃,HSK7-9
惕,tì,watchful,锡,褐,易,蜴,愣,踢,慷,惭,剔,HSK7-9
腥,xīng,fishy,膛,腊,脾,碍,朝,盟,牌,瞎,蕴,HSK7-9
潭,tán,deep pool,谭,温,稿,湿,谓,润,滴,滥,涧,HSK7-9
涡,wō,whirlpool,锅,浦,洒,滑,渣,淳,涵,谅,祸,HSK7-9
酿,niàng,to brew,蜻,酝,牺,银,慎,醋,酷,酌,蹭,HSK7-9
暮,mù,sunset,墓,著,署,春,薯,垦,者,暑,葛,HSK7-9
娥,é,moon goddess,饿,哦,戏,撤,姥,姨,激,澈,缴,HSK7-9
挠,náo,to scratch,挽,挨,拢,找,扰,晓,投,拖,烧,HSK7-9
稼,jià,crops,像,橡,秩,慑,锡,棱,裂,核,嫁,HSK7-9
哺,bǔ,to feed,畔,呻,韩,啤,轴,瞎,牌,晴,唾,HSK7-9
矢,shǐ,dart,失,犬,天,夫,关,央,大,夹,庆,HSK7-9
帜,zhì,banner,职,识,积,惊,晾,忠,咐,呢,原,HSK7-9
揉,róu,to knead,柔,挺,葵,挨,茅,拯,揍,择,拢,HSK7-9
蔓,màn,climbing vine,曼,寞,莫,臭,嘎,寝,寡,夏,宴,HSK7-9
虔,qián,pious,度,虏,葵,康,毁,复,腹,般,敏,HSK7-9
畔,pàn,side,呻,哺,啤,碑,瞄,睦,眸,辟,样,HSK7-9
碟,dié,saucer,谍,辣,模,耕,蝶,躁,莉,操,唠,HSK7-9
胧,lóng,hazy,航,脱,旋,犹,咙,脆,腕,拢,舵,HSK7-9
蹦,bèng,to hop,藏,蹄,蔬,兢,踢,螃,麟,珊,蝴,HSK7-9
裔,yì,descendant,蒋,酱,窝,商,蜜,翠,弈,穿,窒,HSK7-9
熄,xī,to extinguish,烦,炼,焰,愣,烤,颇,炖,煽,舵,HSK7-9
浇,jiāo,to water,济,绕,浅,涤,港,淹,姿,没,凑,HSK7-9
棘,jí,thorn bushes,刺,剩,赖,槐,粮,棵,械,嗽,糙,HSK7-9
聋,lóng,deaf,垄,奢,葬,窘,著,眷,酱,奋,春,HSK7-9
撇,piē,to cast aside,撤,撒,辙,搬,糠,獭,蔽,徽,瓶,HSK7-9
蛙,wā,frog,挂,堪,虹,蜡,措,描,蝗,捏,埋,HSK7-9
惭,cán,ashamed,慷,斩,慑,例,新,惕,储,愧,裤,HSK7-9
钙,gài,calcium,钉,判,弹,讳,卸,罚,张,窍,针,HSK7-9
礁,jiāo,reef,瞧,糕,舔,确,雄,饼,衡,糙,瀚,HSK7-9
瞻,zhān,look upward,庸,瞩,惰,僧,赌,懂,裤,侮,属,HSK7-9
拣,jiǎn,to select,拷,掠,栋,陈,摆,刹,销,炼,冻,HSK7-9
慑,shè,to fear,慷,惭,裂,摄,庭,锡,瘫,皱,猪,HSK7-9
绷,bēng,to stretch taut,溯,纺,绸,绒,棚,验,绽,微,绑,HSK7-9
翘,qiào,to turn upward,鹅,舰,瓶,规,撼,魁,施,翔,窥,HSK7-9
淌,tǎng,to drip,消,洞,溃,淳,滴,滨,询,凉,润,HSK7-9
牡,mǔ,male,扯,址,拄,壮,在,肚,虹,枯,扛,HSK7-9
缀,zhuì,to sew,缓,泼,竣,毅,缕,怒,滚,熬,激,HSK7-9
挚,zhì,sincere,帮,垫,擎,撑,驾,薪,惠,镜,酵,HSK7-9
迭,dié,to alternate,送,这,达,逸,葵,述,速,连,逆,HSK7-9
咙,lóng,throat,愣,哗,就,拢,刹,既,筛,呢,愧,HSK7-9
沛,pèi,copious,浦,汗,活,法,汁,注,油,汪,消,HSK7-9
垦,kěn,to reclaim land,暑,室,暮,享,墓,署,者,窖,军,HSK7-9
柬,jiǎn,letter,束,果,栗,来,荣,某,茉,呆,架,HSK7-9
氓,máng,hoodlum,眠,民,武,招,瓦,玩,志,拇,抨,HSK7-9
煽,shān,to fan a fire,熄,燥,焰,慷,熔,砌,烦,颇,编,HSK7-9
舵,duò,rudder,航,鸡,能,鸦,挖,熄,宠,锐,杂,HSK7-9
赁,lìn,to rent,贺,贤,债,责,质,贷,贵,贯,贪,HSK7-9
婿,xù,son-in-law,婚,姆,媳,嫦,姥,猪,猜,娘,骚,HSK7-9
卦,guà,divination symbols,盐,扑,措,捏,挂,壮,赴,牡,扯,HSK7-9
韧,rèn,pliable but strong,砌,赫,越,扬,趟,谎,锡,规,唠,HSK7-9
憋,biē,to hold back,徽,愁,撼,悠,锈,耀,麟,惑,弊,HSK7-9
粤,yuè,Guangdong,莺,鸣,骂,鸟,乌,喝,呜,写,号,HSK7-9
拧,nǐng,to twist,持,打,抒,押,钉,控,扑,花,批,HSK7-9
肇,zhào,to cause,奉,馨,霍,寨,警,蜜,誓,整,辖,HSK7-9
恤,xù,to sympathize,临,监,怔,惜,耐,悼,悍,憎,帅,HSK7-9
铝,lǚ,aluminum,钻,距,语,扫,担,坦,侣,智,昭,HSK7-9
砌,qì,to lay brick,锡,彻,咙,磅,辨,杨,畅,规,煽,HSK7-9
靶,bǎ,target,艳,蝇,盹,聘,葡,嘲,吧,搏,勒,HSK7-9
孵,fū,to hatch,缆,您,硫,疏,滤,隐,揽,慈,颂,HSK7-9
淆,xiáo,confused,潦,涛,瀑,港,涕,泽,涌,潘,淹,HSK7-9
菇,gū,mushroom,娃,姑,姓,奸,牲,括,挫,辞,狂,HSK7-9
炫,xuàn,show off,炼,烤,烁,幼,绘,讼,弦,钩,舷,HSK7-9
瞩,zhǔ,to gaze,嘱,膊,瞻,赠,黯,融,蝙,嚷,锦,HSK7-9
闺,guī,small arched door,围,匿,南,筐,阐,惶,辈,闸,瞎,HSK7-9
蹬,dēng,step on,瞪,橙,蹈,踢,缅,澄,溜,绯,藻,HSK7-9
袱,fú,wrapping cloth,秋,欣,砍,伏,伙,份,吹,粉,极,HSK7-9
殴,ōu,to beat up,寂,般,赵,蔽,翅,毁,庭,欧,策,HSK7-9
嬉,xī,to play,握,据,猖,猎,媚,堤,锯,嫦,膳,HSK7-9
拎,līn,to lift with one's hand,玲,铃,绘,轮,冷,贫,论,徐,怜,HSK7-9
搀,chān,take by the arm,馋,挣,瀑,淆,撼,紫,斜,葱,钓,HSK7-9
唠,láo,to chatter,荆,捞,喷,趟,摸,想,磅,劈,模,HSK7-9
揍,zòu,to beat,接,搂,捧,择,挺,揉,挨,铸,拂,HSK7-9
拌,bàn,to mix,挡,拄,抨,插,挫,括,封,捎,讲,HSK7-9
刨,bào,to shave off,胞,弛,跑,抱,饱,袍,鸦,拘,创,HSK7-9
竣,jùn,to complete,绞,缓,骏,峻,泼,缎,馁,凌,悠,HSK7-9
馋,chán,gluttonous,搀,缝,链,涤,锻,瀑,软,淆,凝,HSK7-9
炖,dùn,to stew,熄,忧,恍,耽,愣,协,坑,附,抗,HSK7-9
绯,fēi,red,徘,缅,绊,绅,缩,绪,蹬,读,缤,HSK7-9
涝,lào,waterlogged,溃,漠,捞,烤,钩,澳,洗,涩,谤,HSK7-9
盹,dǔn,nap,吨,肿,萌,腊,陆,弹,吁,朝,描,HSK7-9
煲,bāo,cooking pot,焚,梦,签,荧,羡,影,膨,绩,锣,HSK7-9
赵,zhào,Zhao,致,殴,毁,跤,跌,煤,敞,散,墩,HSK7-9
袭,xí,to raid,裂,察,设,揉,袋,绎,葵,猪,惫,HSK7-9
侠,xiá,knight-errant,伏,状,快,夹,侯,失,仗,朱,使,HSK7-9
韩,hán,Korea,哺,鞋,薛,捍,耕,瞎,割,捕,撞,HSK7-9
隆,lóng,grand,降,窿,庭,筝,陷,寨,鲨,揍,稽,HSK7-9
宙,zhòu,universe,亩,苗,审,革,宝,羊,虽,丰,再,HSK7-9
撒,sā,to let go,撤,辙,敷,撇,摊,拂,搬,散,糠,HSK7-9
艘,sōu,boat,般,敞,毁,敬,殿,散,艇,殷,嫂,HSK7-9
慈,cí,kind,辫,饶,惑,锈,诱,雾,愁,磁,凝,HSK7-9
佩,pèi,to admire,侧,俯,顺,卿,胁,饥,喊,账,帆,HSK7-9
帕,pà,handkerchief,帖,柏,怕,幅,扣,担,钻,粘,虾,HSK7-9
垂,chuí,to droop,甫,理,崔,埋,串,重,审,唾,单,HSK7-9
惧,jù,to fear,慎,恨,悄,馆,惜,怡,酒,洒,站,HSK7-9
澳,ào,bay,漠,唉,懊,想,溃,颈,模,涝,愣,HSK7-9
辖,xiá,to administer,肆,辐,整,铺,割,静,辅,辑,墅,HSK7-9
割,gē,to cut apart,瞎,辐,辖,阐,副,闺,博,蕾,搞,HSK7-9
尘,chén,dust,计,住,许,书,社,壮,空,柱,证,HSK7-9
峡,xiá,gorge,缺,挟,诀,快,映,跌,联,侠,殃,HSK7-9
怖,bù,to be scared,棕,惊,咐,惰,阀,栋,标,棉,却,HSK7-9
稀,xī,scarce,释,稚,楼,粹,裸,摊,树,祷,籍,HSK7-9
履,lǚ,shoe,屠,屡,厦,赌,悔,腐,超,易,展,HSK7-9
坛,tán,altar,培,站,坪,拦,堵,红,茫,尝,针,HSK7-9
覆,fù,to overturn,整,褐,履,寨,募,襄,翼,蠢,锡,HSK7-9
唤,huàn,to call out,唉,喉,换,殃,焕,候,缺,秧,兔,HSK7-9
霸,bà,tyrant,静,囊,摘,膊,聘,瞩,黯,嚷,嘱,HSK7-9
赴,fù,to go to,赶,捉,徒,定,竖,茉,促,快,卦,HSK7-9
庞,páng,huge,宠,寇,庭,戒,房,或,痴,起,成,HSK7-9
侍,shì,to serve,俏,待,诗,伴,付,针,荷,伟,何,HSK7-9
劣,liè,inferior,务,秀,芬,奖,贬,贫,尖,笑,秃,HSK7-9
鹰,yīng,hawk,虚,腐,摩,魔,篇,赡,顽,题,侮,HSK7-9
滋,zī,to nourish,练,浮,添,涤,兹,浏,涕,潦,炫,HSK7-9
痕,hén,scar,很,浪,狠,泉,尿,哀,袁,恨,良,HSK7-9
毅,yì,resolute,缓,教,缘,婆,拨,骏,矮,敦,豫,HSK7-9
蓄,xù,to save up,幕,管,窖,辈,莓,筐,薯,挥,蜜,HSK7-9
竭,jié,to use up,悲,褐,惠,靖,骑,驾,愚,虚,跨,HSK7-9
贼,zéi,thief,戚,诚,旋,颇,感,减,赐,购,赋,HSK7-9
蜜,mì,honey,塑,诵,率,裔,摔,窝,等,蜀,蓄,HSK7-9
狭,xiá,narrow,获,猿,狡,胶,放,殷,狼,券,殃,HSK7-9
霞,xiá,rosy clouds,霜,霍,露,霉,雷,舅,震,蕾,望,HSK7-9
疆,jiāng,border,聘,融,膊,鳄,喂,颗,幢,鹊,啼,HSK7-9
鹿,lù,deer,屁,钥,朋,底,展,脂,助,服,锯,HSK7-9
锡,xī,tin,踢,蜴,砌,畅,惕,锯,镑,铸,祷,HSK7-9
矣,yǐ,did,尖,柔,类,芬,奖,秀,葵,奕,乔,HSK7-9
灌,guàn,to irrigate,潘,湘,满,洋,潮,裸,潜,渔,津,HSK7-9
孝,xiào,filial piety,考,老,茅,字,存,窝,学,荐,垄,HSK7-9
嫂,sǎo,elder brother's wife,菠,敦,姨,披,段,驳,妓,被,敢,HSK7-9
矩,jǔ,square,炬,知,短,昨,坐,厢,智,暗,辟,HSK7-9
慨,kǎi,indignant,概,溉,憾,既,德,诫,御,惭,谢,HSK7-9
狮,shī,lion,砌,吻,胁,赫,咧,慷,彻,御,煽,HSK7-9
砍,kǎn,to chop,吹,钦,欺,欢,秋,坎,饮,欲,欣,HSK7-9
坑,kēng,pit,抗,吭,坊,况,玩,巩,忧,芳,杭,HSK7-9
陌,mò,footpath,阻,阳,昭,陆,陪,西,尹,胆,矩,HSK7-9
窄,zhǎi,narrow,穿,套,室,空,暮,垦,罕,者,尝,HSK7-9
崖,yá,cliff,岸,唐,厘,屋,重,靠,雷,南,董,HSK7-9
钩,gōu,hook,钓,练,钧,烤,哟,锐,涝,锁,窃,HSK7-9
嚷,rǎng,to shout,壤,铺,籍,镯,襄,嚼,黯,辖,嗦,HSK7-9
腺,xiàn,gland,尿,膜,脖,服,臊,躲,族,脱,船,HSK7-9
俯,fǔ,to bow,例,府,棚,忧,倾,橱,附,构,视,HSK7-9
厦,shà,tall building,屡,履,夏,屏,最,晨,臭,屑,易,HSK7-9
饶,ráo,to spare,烧,饿,绕,锈,锐,诱,凝,疑,矫,HSK7-9
煌,huáng,brilliant,焊,惶,灿,模,痹,燥,短,炯,误,HSK7-9
滥,làn,indiscriminate,碰,槛,湿,粒,溢,浑,粽,怖,润,HSK7-9
滞,zhì,stagnant,潮,漂,湖,溃,湘,浑,演,灌,滴,HSK7-9
躯,qū,human body,抠,驱,脑,枢,呕,恼,囱,姻,矩,HSK7-9
寨,zhài,stockade,暴,拳,筝,撑,筹,擦,赛,塑,读,HSK7-9
嘲,cháo,to ridicule,喂,啪,勒,啼,碟,唠,荆,蝗,幢,HSK7-9
雀,què,sparrow,客,番,看,容,眷,春,着,谁,奢,HSK7-9
撕,sī,to tear,嘶,掀,蜥,逝,蛾,惭,蜓,攘,揪,HSK7-9
逸,yì,to escape,迭,途,选,递,遗,设,埃,葵,透,HSK7-9
勋,xūn,merit,顽,规,航,颊,财,炖,房,顶,别,HSK7-9
砖,zhuān,brick,碎,诺,眸,诸,禅,传,晾,碑,诬,HSK7-9
陡,dǒu,steep,阱,阴,限,阵,抚,那,拐,超,邦,HSK7-9
搏,bó,to wrestle,博,挥,锦,捣,揭,捅,摆,聘,拇,HSK7-9
瞎,xiā,blind,睛,晴,睦,辐,蕾,壁,暗,割,南,HSK7-9
冤,yuān,injustice,宠,第,兔,突,鬼,奥,唉,奕,寇,HSK7-9
绑,bǎng,to tie up,娜,烧,辨,绒,骄,绷,挪,糠,哪,HSK7-9
挫,cuò,to frustrate,拌,牲,诺,控,推,错,挡,堵,摆,HSK7-9
绣,xiù,embroidery,缎,锈,绒,绕,缴,绞,诱,缓,骏,HSK7-9
膊,bó,arm,鸭,搏,聘,鹊,脖,薄,摘,锦,魄,HSK7-9
帆,fān,sail,吼,现,柳,巩,视,耽,卿,饥,规,HSK7-9
堤,dī,dike,提,捉,挡,塌,捏,崭,赶,培,绰,HSK7-9
贩,fàn,trader,版,叛,饭,彼,敞,板,扳,被,殷,HSK7-9
桩,zhuāng,stake,棋,柱,根,析,麻,杜,标,袖,社,HSK7-9
瑰,guī,marvelous,魂,掐,魄,揭,愧,酵,跨,魁,攘,HSK7-9
韵,yùn,rhyme,猾,骑,谤,溜,窃,弦,绢,钧,钥,HSK7-9
钧,jūn,30 Chinese pounds,钓,钩,约,韵,沏,沟,均,资,汤,HSK7-9
豹,bào,leopard,貌,豚,缘,嫁,痰,疲,骇,级,毅,HSK7-9
哄,hǒng,to coax,拱,职,泄,供,性,拙,忠,共,惜,HSK7-9
碌,lù,commonplace,银,掠,锅,珠,销,谋,铅,待,钥,HSK7-9
绅,shēn,gentry,绰,细,钟,禅,红,结,诺,缅,神,HSK7-9
贿,huì,to bribe,赌,愣,猾,赠,倾,烦,熄,预,炯,HSK7-9
呜,wū,hum,鸣,鹊,鸭,鸟,鸽,乌,息,吗,哼,HSK7-9
拱,gǒng,arch,哄,供,共,拄,拌,烛,棋,独,捉,HSK7-9
勘,kān,to survey,勒,萄,掏,捣,荆,蜴,拂,脾,唠,HSK7-9
贱,jiàn,cheap,烧,溅,钱,践,威,骄,绕,陵,狈,HSK7-9
辜,gū,crime,靠,莹,旱,晕,罩,喜,董,草,章,HSK7-9
涯,yá,bank,温,湿,得,源,浩,漏,渔,湘,润,HSK7-9
倚,yǐ,to rely on,椅,寄,奇,酱,荐,崎,垄,荷,窝,HSK7-9
痒,yǎng,itch,痛,痴,瘤,病,短,举,怪,狂,辟,HSK7-9
莹,yíng,lustrous,幸,苦,辜,芒,旱,萤,靠,宝,南,HSK7-9
膏,gāo,paste,掌,管,晕,毫,亭,营,富,搞,骂,HSK7-9
垮,kuǎ,to collapse,跨,挎,拷,惹,窍,窃,蒋,境,菊,HSK7-9
棺,guān,coffin,杠,柜,相,杜,柱,粘,桂,植,杆,HSK7-9
鸽,gē,pigeon,鹊,鸭,呜,骑,鸣,患,脖,躬,侮,HSK7-9
纬,wěi,latitude,绪,绊,钥,斜,纤,绿,筝,落,药,HSK7-9
嗅,xiù,to smell,嘎,噪,臭,模,喂,硬,栗,男,啥,HSK7-9
熬,áo,to stew,激,热,熟,缕,教,怒,缓,馁,澈,HSK7-9
坪,píng,level ground,抨,培,钻,评,控,堵,拌,坛,针,HSK7-9
梳,shū,comb,硫,琉,德,械,揽,就,慌,疏,稳,HSK7-9
顷,qǐng,100 Chinese acres,项,悲,顶,坝,惊,损,滑,硕,踪,HSK7-9
嚼,jué,to chew,爵,瞬,糊,嚷,喷,颗,躺,薄,蹄,HSK7-9
羡,xiàn,to envy,绩,煲,姿,绿,鲨,裂,痰,瑟,续,HSK7-9
碳,tàn,carbon,趟,碰,顿,硕,砌,踢,谎,唠,德,HSK7-9
咧,liě,to grin,例,咖,咙,喊,砌,龄,稠,狮,剔,HSK7-9
溯,sù,to go upstream,激,绷,膨,愁,微,哟,溅,谈,沏,HSK7-9
焕,huàn,glowing,殃,换,族,败,敏,叙,唤,痪,笑,HSK7-9
坝,bà,dam,项,顷,损,屿,琐,踪,蛇,坑,侦,HSK7-9
挟,xié,to coerce,扶,块,快,峡,联,诀,拼,捉,埃,HSK7-9
腻,nì,tired of,赋,舰,贰,瘾,规,腕,缆,颖,顾,HSK7-9
瘫,tān,to be paralyzed,痴,嫉,慑,祷,橄,铸,嫦,熔,猪,HSK7-9
朦,méng,hazy,蒙,艘,膜,颇,绩,勃,韧,锡,貌,HSK7-9
嵌,qiàn,to inlay,缺,期,徒,跌,寂,峡,赶,敲,猫,HSK7-9
枣,zǎo,jujube,寒,资,暴,泰,清,赛,烹,裳,淳,HSK7-9
橡,xiàng,rubber tree,像,稼,豫,象,锋,棱,楼,释,橄,HSK7-9
粪,fèn,dung,举,舆,诸,读,益,卖,渣,穿,专,HSK7-9
俭,jiǎn,frugal,检,险,给,捡,脸,徐,伶,绘,经,HSK7-9
帖,tiě,invitation,帕,怕,钻,咕,掉,扣,悼,肿,扯,HSK7-9
缕,lǚ,thread,矮,婆,锋,滚,凌,拨,缓,教,姿,HSK7-9
廓,kuò,wide,廊,郭,郁,都,腐,陨,部,那,邪,HSK7-9
敛,liǎn,to restrain,叙,级,纹,败,饭,数,效,牧,敬,HSK7-9
彰,zhāng,conspicuous,影,彭,咳,煲,签,鉴,彩,梦,刻,HSK7-9
涕,tì,snot,沸,淆,淀,涛,溜,洋,澄,涂,滔,HSK7-9
绎,yì,to unravel,络,经,铭,设,俊,绘,奏,致,袭,HSK7-9
鞠,jū,to bow,镯,籍,翻,嘴,麟,颗,赖,糊,糖,HSK7-9
洽,qià,in agreement,沼,治,给,沿,沫,谷,浴,渣,径,HSK7-9
痰,tán,phlegm,羡,菠,凌,续,嫉,绞,姿,谈,滚,HSK7-9
峙,zhì,to stand erect,捍,挡,措,悼,掉,带,描,虾,捆,HSK7-9
靴,xuē,boots,鞠,镯,糊,翻,揽,掏,概,掩,鹤,HSK7-9
寥,liáo,few,谬,惨,参,掺,羡,鲨,穆,彥,修,HSK7-9
槐,huái,scholar tree,愧,榜,梯,瑰,雅,粮,魁,探,梅,HSK7-9
宵,xiāo,night,曾,莺,普,南,胃,窖,寓,商,碧,HSK7-9
衅,xìn,quarrel,蹄,畔,坪,蹭,抨,踪,增,钮,瑞,HSK7-9
畸,jī,lopsided,崎,椅,磕,醇,患,型,曙,商,犁,HSK7-9
唬,hǔ,to bluff,规,镜,鸦,虑,揽,现,陶,愚,鹤,HSK7-9
缉,jī,to arrest,装,绢,结,绰,红,绪,踏,煮,蛋,HSK7-9
渣,zhā,residue,注,淇,汪,洒,沫,滨,谋,淳,涡,HSK7-9
辙,zhé,rut,撤,撒,搬,澈,傲,糠,敷,嫩,娥,HSK7-9
潇,xiāo,deep and clear,湾,满,潮,渊,溯,涝,礁,漂,踢,HSK7-9
滤,lǜ,to filter,虑,颖,缆,怨,您,流,恳,锁,疏,HSK7-9
磋,cuō,to polish,棒,裙,整,箱,祷,眸,律,磕,搓,HSK7-9
烘,hōng,to warm by fire,烛,炉,拱,熄,炖,煤,织,积,炼,HSK7-9
赂,lù,to bribe,胳,铭,络,骆,政,改,败,敌,致,HSK7-9
瘟,wēn,epidemic,症,痹,癌,倡,层,屑,温,屋,焊,HSK7-9
剃,tì,to shave,梯,鸭,制,削,荆,刺,唠,愣,掏,HSK7-9
陨,yǔn,to fall,预,际,顶,院,觉,邪,郭,隔,损,HSK7-9
膳,shàn,meal,脖,膛,脾,嬉,膊,腥,庸,属,塑,HSK7-9
钳,qián,pliers,钻,枉,甜,堪,胜,拄,轩,柏,挂,HSK7-9
锈,xiù,rust,诱,绣,饶,矫,锻,愁,轿,钩,缝,HSK7-9
槛,kǎn,threshold,滥,精,啼,砸,棉,榴,橘,桐,幢,HSK7-9
筛,shāi,sieve,篇,硫,咙,梳,德,愣,预,筹,饰,HSK7-9
痹,bì,paralysis,瘟,焊,煌,得,痛,病,喂,愣,症,HSK7-9
攘,rǎng,chaotic,壤,镶,薪,瑰,斑,螺,擦,拷,薄,HSK7-9
蒜,suàn,garlic,谎,惩,粽,损,顿,德,恶,悲,踪,HSK7-9
蔼,ǎi,friendly,博,谱,褐,幕,惠,惰,碍,喝,莺,HSK7-9
楷,kǎi,model,榴,谐,精,橘,摘,梢,悄,橙,糙,HSK7-9
黏,nián,sticky,踝,群,蒲,推,裸,整,鲜,莉,拜,HSK7-9
漾,yàng,to ripple,绩,诱,荡,汤,游,瑟,溅,续,涝,HSK7-9
跤,jiāo,to fall,铰,较,饺,咬,致,绞,跌,馁,绿,HSK7-9
踊,yǒng,to leap,蹄,铺,搁,捅,野,辅,摘,桶,睁,HSK7-9
飙,biāo,whirlwind,贼,飘,枫,翘,缆,耀,舰,讽,鹅,HSK7-9
踹,chuài,to kick,瑞,揣,端,喘,蹄,蝙,哑,顿,融,HSK7-9
涮,shuàn,to rinse,刷,源,躺,铜,测,卿,漏,渊,滞,HSK7-9
翼,yì,wing,窘,算,蜜,薯,尊,窝,蓄,勇,撞,HSK7-9
魂,hún,soul,瑰,魄,鸡,愧,鸦,愚,预,磅,竭,HSK7-9
署,shǔ,to sign,暑,薯,暮,智,著,垦,辈,酋,普,HSK7-9
蒂,dì,stem,带,型,常,帝,南,骂,幕,博,莺,HSK7-9
乔,qiáo,to disguise,齐,芥,秃,侨,尖,秀,矣,芬,奖,HSK7-9
兼,jiān,simultaneously,集,便,秉,巢,秦,唉,梗,果,嗓,HSK7-9
堡,bǎo,fort,磨,磊,墓,型,荷,碧,查,蘑,侄,HSK7-9
曹,cáo,Cao,罩,唱,置,曾,兽,旱,量,卓,皇,HSK7-9
魏,wèi,Wei,锻,糠,键,搬,艇,健,酸,敷,邀,HSK7-9
恼,nǎo,annoyed,脑,抠,躯,烟,怖,枢,忙,函,惜,HSK7-9
凌,líng,bully,姿,婆,浸,济,渡,铰,绞,峻,涤,HSK7-9
赋,fù,to levy,腻,顾,舰,规,贼,购,烦,颂,喊,HSK7-9
袁,yuán,cloak,哀,衰,衷,畏,表,银,裳,装,恨,HSK7-9
恒,héng,permanent,怔,悟,惶,间,悍,语,宿,堂,惜,HSK7-9
叛,pàn,to betray,被,级,贩,彼,饭,绞,菠,版,敞,HSK7-9
遣,qiǎn,to dispatch,遭,道,逼,谴,适,造,遇,逞,退,HSK7-9
疫,yì,epidemic,瘦,设,役,疮,疾,投,葵,授,股,HSK7-9
癌,ái,cancer,瘟,症,短,痹,腊,强,碍,辟,噪,HSK7-9
歼,jiān,to annihilate,饪,殆,斯,径,很,斩,纤,祈,往,HSK7-9
雕,diāo,sculpture,膊,稠,鹤,糖,颗,魄,镯,陶,趟,HSK7-9
缝,féng,to sew,缎,绣,锈,激,隧,软,锻,缴,缕,HSK7-9
浩,hào,vast,洁,沽,茫,泄,泪,汪,诺,泊,沾,HSK7-9
掠,lüè,to plunder,晾,惊,拣,捎,悲,挡,踪,谅,亲,HSK7-9
贪,tān,greedy,贫,货,令,贤,贷,赁,今,负,茶,HSK7-9
腔,qiāng,body cavity,侄,控,帘,偿,许,空,诺,尝,讶,HSK7-9
膀,bǎng,upper arm,膜,服,媳,腺,磅,腾,姆,傍,镑,HSK7-9
陵,líng,hill,猿,腹,棱,段,凌,援,降,猪,猴,HSK7-9
绳,shéng,rope,缚,缔,韵,纯,锡,猾,缩,钩,绸,HSK7-9
骤,zhòu,to trot,糠,腾,验,锡,骄,镑,趣,敷,溅,HSK7-9
葬,zàng,to bury,聋,莽,垄,垫,酱,著,酵,募,荐,HSK7-9
铭,míng,inscription,络,裂,绪,经,路,赂,锣,骆,绎,HSK7-9
